timestamp,mode,U2,RF_amplitude,line_id,rep,min_scan,max_scan,n_peaks,r2,aicc,c0,amp1,mu1,sigma1,amp2,mu2,sigma2,amp3,mu3,sigma3,amp4,mu4,sigma4
20260206_231411,trapped,-0.23500000000000001,2.5,5,1,136.0,156.0,4,0.9087315674054683,-786.9067662308028,0.3408025330040412,-0.04811721422432536,146.9365667084682,0.38035428874007987,-0.02807923193096639,143.97157099473026,0.3994566335328868,-0.10551533561472301,148.65384449189924,23.096547878380825,-0.04676562645134417,142.90646940055984,1.646037421866216
20260206_232809,lost,-0.23500000000000001,2.5,0,2,31.0,51.0,2,0.9709969100730479,-932.0767297819455,0.018121344853297496,0.04597374970713266,41.35419974066364,0.5527716148659848,0.030120144187367023,39.29629874536494,2.4406316530763847,,,,,,
20260206_232809,trapped,-0.23500000000000001,2.5,0,2,31.0,51.0,2,0.9278421743650195,-816.0451039899161,0.23517568817066814,-0.04922733508462029,41.44345702450922,0.507672071121157,-0.04667427843784173,39.53847246569271,1.906457974957684,,,,,,
20260206_234144,lost,-0.23500000000000001,2.5,1,2,52.0,72.0,2,0.9803605827446523,-892.5572696375984,0.023286544238056414,0.05039601806416153,60.30318290032195,3.03859046686189,0.06042598896993932,62.96931626628408,0.7038608815359557,,,,,,
20260206_234144,trapped,-0.23500000000000001,2.5,1,2,52.0,72.0,2,0.943468455214345,-810.4035020191486,0.2261297304629654,-0.05430522109695332,62.92533653415816,0.8265563310335196,-0.04354262836956789,60.96323107033723,2.8036402038794868,,,,,,
20260206_235513,lost,-0.23500000000000001,2.5,2,2,73.0,93.0,1,0.9592411324557186,-974.1970108099946,0.01747991909409353,0.03341939454650684,81.63131254015894,1.9867515084748812,,,,,,,,,
20260206_235513,trapped,-0.23500000000000001,2.5,2,2,73.0,93.0,2,0.9046134270039263,-838.2247137230343,0.23069116251389205,-0.04304536508719356,81.76509858642939,1.9384249840776617,-0.018315484310317223,79.92124080658421,0.4139482232719905,,,,,,
20260207_000827,lost,-0.23500000000000001,2.5,3,2,94.0,114.0,2,0.9674796249355953,-872.732125024999,0.019160963767805225,0.050163510612897734,105.38186952600728,1.7300448447330299,0.05730289949154997,106.42717044176423,0.35347830913342304,,,,,,
20260207_000827,trapped,-0.23500000000000001,2.5,3,2,94.0,114.0,2,0.9385321641558908,-802.394668724622,0.22566568621179459,-0.06714796890239416,106.46411533263229,0.3710850827796135,-0.05217993205630598,105.62812063243038,1.6480848280906808,,,,,,
20260207_002202,lost,-0.23500000000000001,2.5,4,2,115.0,135.0,1,0.9034623627110688,-992.9055872291179,0.015878249194589272,0.017921952677907305,123.7283370494078,3.1468415985540608,,,,,,,,,
